name,player_id,opponent,at_home
Carlos Carrasco,carlos-carrasco-471911,Tigers,0
Tarik Skubal,tarik-skubal-669373,Yankees,1
Shane Smith,shane-smith-681343,Guardians,0
Ben Lively,ben-lively-594902,White Sox,1
Connor Gillispie,connor-gillispie-687362,Mets,0
Clay Holmes,clay-holmes-605280,Marlins,1
Sonny Gray,sonny-gray-543243,Pirates,0
Paul Skenes,paul-skenes-694973,Cardinals,1
Easton Lucas,easton-lucas-687922,Red Sox,0
Garrett Crochet,garrett-crochet-676979,Blue Jays,1
Justin Wrobleski,justin-wrobleski-680736,Nationals,0
Brad Lord,brad-lord-695418,Dodgers,1
Kyle Hendricks,kyle-hendricks-543294,Rays,0
Shane Baz,shane-baz-669358,Angels,1
Zack Wheeler,zack-wheeler-554430,Braves,0
Chris Sale,chris-sale-519242,Phillies,1
Pablo LÃ³pez,pablo-lopez-641154,Royals,0
Cole Ragans,cole-ragans-666142,Twins,1
Patrick Corbin,patrick-corbin-571578,Cubs,0
Jameson Taillon,jameson-taillon-592791,Rangers,1
Freddy Peralta,freddy-peralta-642547,Rockies,0
Kyle Freeland,kyle-freeland-607536,Brewers,1
Charlie Morton,charlie-morton-450203,D-backs,0
Merrill Kelly,merrill-kelly-518876,Orioles,1
Nick Lodolo,nick-lodolo-666157,Giants,0
Landen Roupp,landen-roupp-694738,Reds,1
Dylan Cease,dylan-cease-656302,Athletics,0
Jeffrey Springs,jeffrey-springs-605488,Padres,1
